# Version 1.00
#
freq[Hz];db:Trc2_S21;ang:Trc2_S21;
5.975000000000000E+09;-7.985307063851164E+01;-9.015153272477215E+01;
5.982500000000000E+09;-7.952229187374451E+01;1.013438963362462E+02;
5.990000000000000E+09;-8.020015069167199E+01;-7.334329937988410E+01;
5.997500000000000E+09;-7.979550677981598E+01;1.108186164292068E+02;
6.005000000000000E+09;-7.960532264201373E+01;-6.610773605180312E+01;
6.012500000000000E+09;-7.981876815544321E+01;1.211253282377711E+02;
6.020000000000000E+09;-7.970319254732046E+01;-5.234850188972054E+01;
6.027500000000000E+09;-7.953961489232950E+01;1.296782342914281E+02;
6.035000000000000E+09;-7.968668021156745E+01;-4.296354516027022E+01;
6.042500000000000E+09;-7.986284303332579E+01;1.395032217650380E+02;
6.050000000000000E+09;-8.015504674920172E+01;-3.590776485808095E+01;
6.057500000000000E+09;-7.994932336310453E+01;1.555425355076585E+02;
6.065000000000000E+09;-7.995115340956761E+01;-2.030985784248643E+01;
6.072500000000000E+09;-8.029919490505328E+01;1.663091133172433E+02;
6.080000000000000E+09;-8.008285288199814E+01;-1.287468975547322E+01;
6.087500000000000E+09;-7.952880650245802E+01;1.771227907052968E+02;
6.095000000000000E+09;-7.957066253225202E+01;2.199827457850791E+00;
6.102500000000000E+09;-8.016137321799593E+01;-1.742736778062003E+02;
6.110000000000000E+09;-7.994253672365559E+01;1.528723528637584E+01;
6.117500000000000E+09;-7.987112251508140E+01;-1.657149676479069E+02;
6.125000000000000E+09;-7.952918053890619E+01;2.768492501003479E+01;
6.132500000000000E+09;-7.942068483575299E+01;-1.455256268798242E+02;
6.140000000000000E+09;-7.986081555540520E+01;3.649080476911298E+01;
6.147500000000000E+09;-7.967814815314708E+01;-1.351381260521526E+02;
6.155000000000000E+09;-7.979080861241327E+01;4.942704576689745E+01;
6.162500000000000E+09;-7.905990642402256E+01;-1.223280714035187E+02;
6.170000000000000E+09;-7.936290848919184E+01;6.167832771108701E+01;
6.177500000000000E+09;-7.964722267373955E+01;-1.159229526406966E+02;
6.185000000000000E+09;-7.955974989673601E+01;7.282622580861755E+01;
6.192500000000000E+09;-7.959572072927608E+01;-1.014117147920021E+02;
6.200000000000000E+09;-7.994581108762873E+01;8.144460225096712E+01;
6.207500000000000E+09;-7.957069032199126E+01;-9.213042453967438E+01;
6.215000000000000E+09;-7.922406943940999E+01;9.169087763344096E+01;
6.222500000000000E+09;-7.929425511354425E+01;-8.061807417157242E+01;
6.230000000000000E+09;-7.900410280397233E+01;1.084684190594576E+02;
6.237500000000000E+09;-7.905515775999586E+01;-6.851131189384490E+01;
6.245000000000000E+09;-7.945003679409977E+01;1.205950084830243E+02;
6.252500000000000E+09;-7.908759762906112E+01;-5.421627714726388E+01;
6.260000000000000E+09;-7.946893972044737E+01;1.273087816893034E+02;
6.267500000000000E+09;-7.986196027358311E+01;-4.761154847908965E+01;
6.275000000000000E+09;-7.972603227691383E+01;1.412789768215746E+02;
6.282500000000000E+09;-7.934041374405614E+01;-3.530449552542903E+01;
6.290000000000000E+09;-7.988903862475647E+01;1.488230261207001E+02;
6.297500000000000E+09;-7.990155818336314E+01;-2.157041061366166E+01;
6.305000000000000E+09;-7.883918433857306E+01;1.610670830916486E+02;
6.312500000000000E+09;-7.978673689392549E+01;-7.301457530505898E+00;
6.320000000000000E+09;-7.976502139191226E+01;1.740543755374700E+02;
6.327500000000000E+09;-8.011161815985548E+01;-1.953364059339898E+00;
6.335000000000000E+09;-7.976301770711027E+01;-1.738356977983310E+02;
6.342500000000000E+09;-8.010578157980291E+01;1.332249548872164E+01;
6.350000000000000E+09;-7.926210829884749E+01;-1.628225364487351E+02;
6.357500000000000E+09;-8.051858107038407E+01;2.357826128874771E+01;
6.365000000000000E+09;-8.087865031377200E+01;-1.492305172254109E+02;
6.372500000000000E+09;-8.045730500940252E+01;4.223955012421498E+01;
6.380000000000000E+09;-7.988094678122681E+01;-1.392731379336950E+02;
6.387500000000000E+09;-8.048411322120376E+01;4.826169427446320E+01;
6.395000000000000E+09;-8.038596149739897E+01;-1.249247686360305E+02;
6.402500000000000E+09;-8.009800844679611E+01;6.382820860004420E+01;
6.410000000000000E+09;-8.028262003187575E+01;-1.128026097857774E+02;
6.417500000000000E+09;-8.035301782084233E+01;7.507269978735377E+01;
6.425000000000000E+09;-8.019943311705543E+01;-1.005483485887259E+02;
6.432500000000000E+09;-8.038436463107432E+01;8.869808024721387E+01;
6.440000000000000E+09;-8.070484004170355E+01;-8.935283938098358E+01;
6.447500000000000E+09;-8.051582501580130E+01;1.013789408299786E+02;
6.455000000000000E+09;-8.061225208194800E+01;-7.680284536284628E+01;
6.462500000000000E+09;-8.042964361527054E+01;1.133874007642013E+02;
6.470000000000000E+09;-8.001680783235635E+01;-6.583856901346179E+01;
6.477500000000000E+09;-8.054484823421510E+01;1.238522226489227E+02;
6.485000000000000E+09;-8.064524194112524E+01;-5.020036923329504E+01;
6.492500000000000E+09;-7.963910676230930E+01;1.340749904592971E+02;
6.500000000000000E+09;-8.057395283650965E+01;-4.028147149953806E+01;
